,storm_id,season,init_lat,init_lon,init_dist2land,PDI_max_wmo,PDI_max_usa,PDI_max_tokyo,Pres_min_wmo,r34_max_wmo,r50_max_wmo,r64_max_wmo,storm_speed_max_wmo,lon_weighted,lat_weighted,lon_variance,lat_variance,latlon_covariance,DayofYear_mean
1089,1089,1944,17.1,-41.5,1788.0,276356256.0,276356256.0,,,,,,40.0,-49.08074569702149,34.41181564331055,64.41124949282546,195.7296127733566,62.56617466281422,268.56140350877195
1090,1090,1944,14.4,-59.3,453.0,28800000.0,28800000.0,,,,,,14.0,-59.93928527832031,16.765398025512695,0.5117204078803964,5.152828662738806,0.6932307956344085,275.32
1091,1091,1944,33.1,-44.1,1687.0,41006248.0,41006248.0,,,,,,21.0,-43.432891845703125,37.907012939453125,5.299274882666698,10.671902060375674,5.738295698245807,275.08
1092,1092,1944,35.5,-40.4,1629.0,154350000.0,154350000.0,,,,,,33.0,-32.62767028808594,38.14012145996094,70.07154199977758,4.842347325529578,13.249984813010176,286.948717948718
1093,1093,1944,16.0,-80.5,300.0,869845376.0,869845376.0,,937.0,,,,38.0,-74.46507263183594,30.555559158325195,169.3122693208857,228.86907931517268,183.89803579269255,292.07142857142856
1094,1094,1944,12.2,-81.3,240.0,97200000.0,97200000.0,,,,,,4.0,-81.98684692382812,11.627607345581056,0.1704638736868247,0.1046791165552443,0.10752789073106,306.95652173913044
1095,1095,1945,19.0,-85.7,187.0,271507904.0,271507904.0,,,,,,29.0,-64.65000915527344,40.70967483520508,423.452805615996,201.9363872502456,287.6088539428629,178.02608695652174
1096,1096,1945,25.7,-90.0,379.0,19293750.0,19293750.0,,,,,,8.0,-93.71841430664062,26.99929428100586,4.096169853995282,0.4206868904446066,-1.089261484390469,201.32
1097,1097,1945,13.6,-58.3,437.0,56250000.0,56250000.0,,,,,,15.0,-64.24774169921875,16.16691017150879,17.968428694441826,2.336530551219256,-6.425713336206635,214.95652173913044
1098,1098,1945,17.4,-53.5,1103.0,97200000.0,97200000.0,,,,,,19.0,-65.02833557128906,19.7281551361084,53.46413957908322,2.401381738073961,-11.262217794016903,231.06896551724137
1099,1099,1945,20.5,-94.40001,218.0,450000000.0,450000000.0,,963.0,,,,9.0,-96.26453399658205,26.99935913085937,0.6402126991314507,11.034570328939186,-2.179740772801845,238.4468085106383
1100,1100,1945,13.600001,-82.3,124.0,97200000.0,97200000.0,,990.0,,,,13.0,-85.40242767333984,16.592721939086914,14.423425204234984,1.680940481411008,-2.57282953332783,242.55172413793105
1101,1101,1945,21.0,-84.6,90.0,19293750.0,19293750.0,,,,,,22.0,-85.73908996582031,27.096948623657227,11.67494058782332,11.697485601975515,-9.535805124800826,247.8
1102,1102,1945,16.4,-58.3,701.0,56250000.0,56250000.0,,1009.0,,,,24.0,-64.14457702636719,24.03515243530273,10.85408364688078,29.670631220107914,-16.055074335351126,253.66666666666663
1103,1103,1945,19.0,-58.5,750.0,656267968.0,656267968.0,,949.0,,,,43.0,-71.8148193359375,29.7575626373291,90.4661565300796,89.01799741048882,18.198446976540872,258.93243243243245
1104,1104,1945,15.5,-81.0,232.0,230400000.0,230400000.0,,982.0,,,,21.0,-91.7178192138672,16.79684066772461,65.11212782027415,3.0963022016907846,-8.82153805932574,277.4418604651163
1105,1105,1945,13.999999,-77.9,420.0,276356256.0,276356256.0,,982.0,,,,42.0,-64.73993682861328,27.268686294555664,270.35644154870994,65.52423546264038,122.44984120988174,286.1764705882353
1106,1106,1946,27.500002,-86.5,267.0,19293750.0,19293750.0,,,,,,10.0,-90.07537841796876,28.754892349243164,6.861286188555554,0.412608182290942,-1.5916069733101077,165.66666666666666
1107,1107,1946,31.4,-79.3,149.0,150920000.0,150920000.0,,1005.0,,,,19.0,-68.27288055419922,37.64714431762695,84.42893811109201,14.668137764448788,33.336977958367896,188.5217391304348
1108,1108,1946,21.0,-94.00001,278.0,17150000.0,17150000.0,,,,,,21.0,-96.46031188964844,21.672548294067383,3.4151677824951343,0.2780223642398697,-0.9716974848954124,237.1
1109,1109,1946,23.5,-79.0,108.0,264841408.0,264841408.0,,975.0,,,,36.0,-64.00171661376953,37.41568374633789,211.8306350404995,108.17655486524473,141.62698572308574,257.3469387755102
1110,1110,1946,32.5,-36.5,1940.0,230400000.0,230400000.0,,,,,,15.0,-31.036333084106445,36.18157196044922,9.0365703797927,9.264650222954248,7.480359424160476,276.43589743589746
1111,1111,1946,18.2,-87.5,31.0,268887168.0,268887168.0,,977.0,,,,27.0,-74.1542739868164,28.80671501159668,89.16405386865443,29.710718492541496,22.54267166895777,282.74666666666667
1112,1112,1946,21.9,-73.5,84.0,27428572.0,27428572.0,,1002.0,,,,22.0,-79.26577758789062,26.545595169067383,7.288148709958004,7.108421598326301,-6.744365864267827,305.54545454545456
1113,1113,1947,19.5,-93.600006,134.0,41006248.0,41006248.0,,,,,,13.0,-95.5751724243164,23.26801109313965,3.01352129046729,5.426826218680335,-3.826555657014234,212.94736842105263
1114,1114,1947,12.700001,-75.5,201.0,372514656.0,372514656.0,,977.0,,,,15.0,-87.93032836914062,18.54300308227539,60.5706935650409,9.85380969803662,-23.24852936675044,224.35593220338984
1115,1115,1947,23.3,-82.0,22.0,150178368.0,150178368.0,,984.0,,,,13.0,-91.479248046875,28.17992782592773,24.11913014474226,9.520817674956938,-14.307951256634624,234.81333333333333
1116,1116,1947,14.500001,-20.1,280.0,860206144.0,860206144.0,,938.0,,,,22.0,-59.95296096801758,20.917104721069336,517.59926163933,50.09148212750737,-151.56317067905007,255.54225352112675
1117,1117,1947,27.7,-85.6,224.0,52941176.0,52941176.0,,,,,,11.0,-87.50047302246094,29.257577896118164,1.1779089387838375,1.4348808203358796,-1.258341182614922,250.61111111111111
1118,1118,1947,19.200003,-77.7,67.0,71749216.0,71749216.0,,987.0,,,,34.0,-80.3735580444336,26.98527717590332,12.708089280118026,38.25827290892999,11.767380690451876,265.6530612244898
