PDI_max_wmo,PDI_max_usa
509355008.0,509355008.0
520931264.0,520931264.0
684393728.0,684393728.0
385818752.0,385818752.0
,
,
,
,
52500000.0,52500000.0
385818752.0,385818752.0
,
,
,
,
56250000.0,56250000.0
,
18865000.0,18865000.0
328049984.0,328049984.0
18671370.0,18671370.0
,
,
272104608.0,272104608.0
445544544.0,445544544.0
276356256.0,276356256.0
590010432.0,590010432.0
,
,
272767200.0,272767200.0
,
276356256.0,276356256.0
,
56250000.0,56250000.0
276356256.0,276356256.0
,
183297408.0,183297408.0
,
90720000.0,90720000.0
28800000.0,28800000.0
,
152880000.0,152880000.0
73783696.0,73783696.0
,
144060000.0,144060000.0
184090912.0,184090912.0
,
154350000.0,154350000.0
385818752.0,385818752.0
55631868.0,55631868.0
,
55479452.0,55479452.0
,
677189568.0,677189568.0
